id,car_brand,car_registration_year,car_eng_pow,customer_age,postal_code,claim_amount,policy_id,marital_status,file_Name,policy_start,policy_end,car_age,car_age_group,car_eng_pow_group,customer_age_group,exposure
486,Volvo,2008,350.0,31.0,,1612.31,P99776,Single,task_data_1.csv,2020-04-06,2021-05-15,14.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
487,Volkswagen,2009,273.0,94.0,452941,283.01,P76006,Married,task_data_1.csv,2020-09-30,2021-04-11,13.4,"[9.4, 35.4)",250+,"[90, 100)",0.528416052348782
488,Nissan,2012,352.0,51.0,P4P,53.76,P73776,Single,task_data_1.csv,2020-09-16,2021-01-23,10.4,"[9.4, 35.4)",250+,"[50, 60)",0.3531900039015175
489,Saab,1993,262.0,55.0,,1290.7,P05529,Single,task_data_1.csv,2020-08-26,2021-05-24,29.4,"[9.4, 35.4)",250+,"[50, 60)",0.7419727988938856
490,Mazda,1998,114.0,91.0,38530,1949.46,P28319,Single,task_data_1.csv,2020-11-05,2021-01-08,24.4,"[9.4, 35.4)",100-250,"[90, 100)",0.1752260484472645
491,Acura,1997,329.0,57.0,,1346.82,P98890,Single,task_data_1.csv,2020-08-27,2021-09-11,25.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
492,Chrysler,1997,302.0,21.0,63620,227.08,P19023,Married,task_data_1.csv,2019-12-20,2021-12-22,25.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
493,GMC,2011,205.0,32.0,,2195.86,P09110,Married,task_data_1.csv,2019-12-03,2022-02-07,11.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
494,Ford,2006,206.0,44.0,659700,1383.22,P35810,Married,task_data_1.csv,2019-03-15,2022-02-21,16.4,"[9.4, 35.4)",100-250,"[40, 50)",1.0
495,Saab,1990,353.0,65.0,429127,1518.42,P20560,Single,task_data_1.csv,2020-09-01,2021-04-18,32.4,"[9.4, 35.4)",250+,"[60, 70)",0.6269807046003683
496,Toyota,2007,365.0,71.0,,0.0,P61006,Single,task_data_1.csv,2019-05-29,2021-09-07,15.4,"[9.4, 35.4)",250+,"[70, 80)",0.0
497,Saab,1995,106.0,32.0,,1733.49,P73588,Single,task_data_1.csv,2020-05-16,2022-01-18,27.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
498,Suzuki,2009,331.0,63.0,,2016.96,P28458,Single,task_data_1.csv,2019-10-21,2021-03-09,13.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
499,Kia,1997,309.0,81.0,,227.45,P77252,Single,task_data_1.csv,2020-01-12,2021-07-13,25.4,"[9.4, 35.4)",250+,"[80, 90)",1.0
500,Cadillac,1998,389.0,87.0,,1731.07,P64693,Single,task_data_1.csv,2019-02-16,2022-01-07,24.4,"[9.4, 35.4)",250+,"[80, 90)",1.0
501,Plymouth,1996,404.0,69.0,55203,1017.71,P49844,Single,task_data_1.csv,2019-03-01,2022-02-10,26.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
502,Pontiac,2003,483.0,57.0,,117.37,P95948,Married,task_data_1.csv,2020-06-13,2021-05-25,19.4,"[9.4, 35.4)",250+,"[50, 60)",0.9473158244180236
503,Audi,1991,189.0,82.0,48320,956.52,P17902,Married,task_data_1.csv,2020-02-02,2021-02-23,31.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
504,Pontiac,2008,453.0,20.0,155334,0.0,P04662,Single,task_data_1.csv,2019-08-11,2021-10-13,14.4,"[9.4, 35.4)",250+,"[20, 30)",0.0
505,Kia,2002,358.0,74.0,,861.43,P95548,Married,task_data_1.csv,2020-11-17,2021-09-09,20.4,"[9.4, 35.4)",250+,"[70, 80)",0.8104204740685983
506,Mercedes-Benz,1987,272.0,21.0,5461,0.0,P53710,Single,task_data_1.csv,2020-02-09,2021-09-06,35.4,"[35.4, 61.4)",250+,"[20, 30)",0.0
507,Buick,1997,435.0,40.0,453360,36.4,P14832,Married,task_data_1.csv,2020-04-27,2022-02-23,25.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
508,Suzuki,2002,94.0,100.0,,1058.73,P11997,Single,task_data_1.csv,2019-05-04,2022-01-21,20.4,"[9.4, 35.4)",0-100,"[20, 30)",1.0
509,Mercedes-Benz,2012,439.0,99.0,34108,1069.78,P37988,Married,task_data_1.csv,2019-04-27,2021-07-12,10.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
510,Mercury,1990,235.0,76.0,,930.44,P42145,Married,task_data_1.csv,2020-05-10,2021-02-16,32.4,"[9.4, 35.4)",100-250,"[70, 80)",0.7720897759707591
511,Mazda,1990,-1.0,-1.0,,375.73,P10574,Married,task_data_1.csv,2020-09-26,2021-02-11,32.4,"[9.4, 35.4)",,"[20, 30)",0.37783116696441404
512,Mitsubishi,1994,52.0,58.0,,962.82,P73562,Single,task_data_1.csv,2020-07-15,2021-11-13,28.4,"[9.4, 35.4)",0-100,"[50, 60)",1.0
513,Mercury,1992,463.0,60.0,2525675,356.83,P85803,Married,task_data_1.csv,2019-10-30,2021-04-22,30.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
514,Acura,2000,280.0,71.0,,1748.97,P21320,Married,task_data_1.csv,2019-05-25,2021-05-03,22.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
515,BMW,2005,462.0,40.0,6131,2142.49,P71538,Married,task_data_1.csv,2019-06-11,2021-06-19,17.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
516,Mercedes-Benz,2001,192.0,95.0,,157.63,P44990,Single,task_data_1.csv,2019-08-27,2021-07-05,21.4,"[9.4, 35.4)",100-250,"[90, 100)",1.0
517,BMW,2009,387.0,93.0,612500,1990.64,P05663,Single,task_data_1.csv,2020-09-25,2021-05-27,13.4,"[9.4, 35.4)",250+,"[90, 100)",0.6680493097051958
518,Ford,2004,480.0,70.0,,2471.77,P08956,Married,task_data_1.csv,2020-10-23,2021-12-22,18.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
519,Toyota,2012,243.0,44.0,347780,855.55,P22871,Married,task_data_1.csv,2019-02-17,2021-09-06,10.4,"[9.4, 35.4)",100-250,"[40, 50)",1.0
520,Chrysler,1995,428.0,34.0,8993221,0.0,P90683,Single,task_data_1.csv,2020-10-22,2021-07-16,27.4,"[9.4, 35.4)",250+,"[30, 40)",0.0
521,Ford,2000,330.0,95.0,,1259.67,P83114,Single,task_data_1.csv,2020-12-23,2021-05-02,22.4,"[9.4, 35.4)",250+,"[90, 100)",0.355927910908506
522,Land Rover,2010,78.0,89.0,7540051,1436.44,P41440,Single,task_data_1.csv,2019-08-04,2021-05-28,12.4,"[9.4, 35.4)",0-100,"[80, 90)",1.0
523,Mitsubishi,2011,200.0,88.0,,706.04,P63278,Married,task_data_1.csv,2020-02-03,2021-07-15,11.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
524,Volkswagen,2000,483.0,70.0,,2069.66,P84670,Married,task_data_1.csv,2020-01-17,2021-06-16,22.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
525,Mazda,2002,92.0,80.0,,1991.09,P60360,Married,task_data_1.csv,2019-04-23,2022-01-23,20.4,"[9.4, 35.4)",0-100,"[80, 90)",1.0
526,GMC,2004,128.0,85.0,76420000,336.76,P69563,Single,task_data_1.csv,2019-09-12,2022-01-08,18.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
527,Maserati,2008,311.0,100.0,,1722.29,P21046,Married,task_data_1.csv,2020-05-06,2022-01-11,14.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
528,Dodge,1995,73.0,50.0,45680000,427.9,P39731,Married,task_data_1.csv,2020-01-12,2021-10-20,27.4,"[9.4, 35.4)",0-100,"[50, 60)",1.0
529,Ford,2008,69.0,44.0,7000,753.57,P84601,Married,task_data_1.csv,2020-01-04,2021-07-02,14.4,"[9.4, 35.4)",0-100,"[40, 50)",1.0
530,Lincoln,1990,-1.0,-1.0,,955.87,P09530,Married,task_data_1.csv,2020-10-30,2021-01-24,32.4,"[9.4, 35.4)",,"[20, 30)",0.23546000260101166
531,Dodge,1998,165.0,18.0,,1096.48,P67027,Married,task_data_1.csv,2019-11-14,2021-06-09,24.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
532,BMW,2006,290.0,31.0,,1749.18,P45013,Single,task_data_1.csv,2020-09-04,2021-03-16,16.4,"[9.4, 35.4)",250+,"[30, 40)",0.528416052348782
533,Pontiac,1986,348.0,71.0,37005,335.01,P03613,Married,task_data_1.csv,2020-11-14,2021-07-27,36.4,"[35.4, 61.4)",250+,"[70, 80)",0.6981662867820695
534,Chevrolet,2003,-1.0,-1.0,,1343.64,P90460,Single,task_data_1.csv,2020-09-02,2021-11-26,19.4,"[9.4, 35.4)",,"[20, 30)",1.0
534,Chevrolet,2003,-1.0,-1.0,,1343.64,P90460,Single,task_data_1.csv,2019-11-03,2021-03-31,19.4,"[9.4, 35.4)",,"[20, 30)",1.0
535,Aston Martin,2012,341.0,79.0,99140,1770.2,P06665,Single,task_data_1.csv,2020-05-31,2021-06-04,10.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
536,Volkswagen,1965,319.0,93.0,,1885.71,P15944,Single,task_data_1.csv,2019-10-13,2021-11-09,57.4,"[35.4, 61.4)",250+,"[90, 100)",1.0
537,Mitsubishi,2005,285.0,95.0,,1252.49,P16710,Single,task_data_1.csv,2019-04-14,2021-06-27,17.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
538,GMC,1992,96.0,54.0,93816,565.56,P58068,Married,task_data_1.csv,2019-01-08,2021-08-23,30.4,"[9.4, 35.4)",0-100,"[50, 60)",1.0
539,Toyota,1999,233.0,87.0,4980062,1325.07,P54289,Married,task_data_1.csv,2020-07-27,2021-12-19,23.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
540,BMW,2010,122.0,81.0,,2302.75,P33209,Married,task_data_1.csv,2019-07-04,2021-03-17,12.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
541,Mitsubishi,1995,-1.0,-1.0,,1813.86,P24868,Single,task_data_1.csv,2019-12-28,2021-07-02,27.4,"[9.4, 35.4)",,"[20, 30)",1.0
542,Ford,1996,150.0,32.0,,640.24,P91789,Married,task_data_1.csv,2020-09-09,2021-11-27,26.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
543,Dodge,1999,328.0,76.0,,573.8,P28649,Married,task_data_1.csv,2019-12-08,2022-01-23,23.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
544,Oldsmobile,1998,301.0,84.0,186304,1282.29,P60647,Married,task_data_1.csv,2020-05-26,2021-05-03,24.4,"[9.4, 35.4)",250+,"[80, 90)",0.9363641963900696
545,Porsche,2012,103.0,62.0,51571CEDEX2,833.49,P97401,Single,task_data_1.csv,2019-05-28,2022-01-06,10.4,"[9.4, 35.4)",100-250,"[60, 70)",1.0
546,Dodge,1994,387.0,40.0,33026,1933.56,P48332,Single,task_data_1.csv,2020-08-09,2021-01-27,28.4,"[9.4, 35.4)",250+,"[40, 50)",0.4681820981950348
547,Toyota,1997,438.0,88.0,,1315.32,P74102,Married,task_data_1.csv,2019-09-11,2021-03-17,25.4,"[9.4, 35.4)",250+,"[80, 90)",1.0
548,Mitsubishi,1992,108.0,85.0,,591.07,P88078,Single,task_data_1.csv,2019-04-20,2022-02-24,30.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
549,Buick,1995,323.0,24.0,73747,0.0,P98770,Single,task_data_1.csv,2020-12-15,2021-07-13,27.4,"[9.4, 35.4)",250+,"[20, 30)",0.0
550,Chevrolet,2000,271.0,74.0,,2045.72,P86217,Single,task_data_1.csv,2020-01-04,2021-05-31,22.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
551,Ford,2008,457.0,47.0,,891.28,P42760,Single,task_data_1.csv,2019-05-20,2021-02-13,14.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
552,Acura,2010,172.0,32.0,5614,1201.01,P22524,Married,task_data_1.csv,2020-02-22,2021-10-06,12.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
553,Lincoln,1985,191.0,47.0,,793.48,P86319,Married,task_data_1.csv,2019-10-24,2021-03-03,37.4,"[35.4, 61.4)",100-250,"[40, 50)",1.0
554,Nissan,1992,153.0,18.0,NR34,1241.36,P69753,Single,task_data_1.csv,2019-08-18,2021-11-06,30.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
555,Saab,2001,78.0,64.0,,744.42,P74697,Single,task_data_1.csv,2019-04-29,2021-03-22,21.4,"[9.4, 35.4)",0-100,"[60, 70)",1.0
556,Hummer,2003,494.0,94.0,,2025.65,P64931,Married,task_data_1.csv,2020-07-18,2021-04-17,19.4,"[9.4, 35.4)",250+,"[90, 100)",0.7474486129078626
557,Porsche,1993,-1.0,-1.0,,2051.58,P32576,Married,task_data_1.csv,2020-03-30,2021-01-14,29.4,"[9.4, 35.4)",,"[20, 30)",0.7939930320266673
558,Mercedes-Benz,2011,390.0,72.0,9023,570.84,P52807,Single,task_data_1.csv,2020-03-01,2021-12-27,11.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
559,Buick,1990,440.0,54.0,79292,1254.35,P13620,Single,task_data_1.csv,2019-06-28,2021-11-29,32.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
560,Hyundai,1994,176.0,48.0,5419,370.99,P95516,Married,task_data_1.csv,2020-02-07,2021-07-19,28.4,"[9.4, 35.4)",100-250,"[40, 50)",1.0
561,GMC,2000,440.0,79.0,,2326.82,P98030,Married,task_data_1.csv,2020-01-27,2021-08-03,22.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
562,Cadillac,2006,292.0,98.0,,1955.55,P41215,Single,task_data_1.csv,2019-05-14,2021-05-21,16.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
563,Lincoln,1984,424.0,32.0,,2250.02,P43511,Single,task_data_1.csv,2020-07-01,2021-03-20,38.4,"[35.4, 61.4)",250+,"[30, 40)",0.717331635830989
564,BMW,2002,76.0,28.0,,1177.95,P53218,Married,task_data_1.csv,2020-01-11,2021-12-23,20.4,"[9.4, 35.4)",0-100,"[20, 30)",1.0
565,Chevrolet,1994,311.0,44.0,4608,1163.19,P54252,Single,task_data_1.csv,2019-12-15,2021-10-08,28.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
566,Acura,2008,79.0,95.0,,64.03,P95734,Single,task_data_1.csv,2019-11-23,2021-04-10,14.4,"[9.4, 35.4)",0-100,"[90, 100)",1.0
567,Lexus,2005,120.0,71.0,,23.46,P50243,Married,task_data_1.csv,2020-12-23,2021-10-30,17.4,"[9.4, 35.4)",100-250,"[70, 80)",0.8514890791734259
568,Toyota,2011,463.0,70.0,7209,1017.08,P94669,Single,task_data_1.csv,2020-08-16,2021-09-05,11.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
569,Lincoln,2012,141.0,55.0,453209,2311.94,P64149,Married,task_data_1.csv,2020-05-12,2021-03-29,10.4,"[9.4, 35.4)",100-250,"[50, 60)",0.8788681492433109
570,Pontiac,1994,378.0,34.0,10411,1673.09,P59465,Single,task_data_1.csv,2019-11-11,2022-01-24,28.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
570,Pontiac,1994,378.0,34.0,10411,1673.09,P59465,Single,task_data_1.csv,2019-01-10,2021-05-02,28.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
571,Ford,2011,316.0,34.0,,1052.79,P28810,Married,task_data_1.csv,2019-11-02,2021-03-27,11.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
572,GMC,1997,184.0,81.0,,482.44,P58272,Married,task_data_1.csv,2019-02-06,2021-04-20,25.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
573,Volkswagen,2009,230.0,52.0,79260000,2018.08,P38578,Single,task_data_1.csv,2019-11-04,2022-02-22,13.4,"[9.4, 35.4)",100-250,"[50, 60)",1.0
574,Honda,1996,411.0,77.0,,2349.54,P96766,Single,task_data_1.csv,2020-08-17,2021-10-26,26.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
575,Buick,1995,125.0,41.0,05555,1181.84,P52728,Married,task_data_1.csv,2020-10-20,2021-01-04,27.4,"[9.4, 35.4)",100-250,"[40, 50)",0.20808093253112658
576,GMC,2004,72.0,69.0,74544,418.04,P05659,Single,task_data_1.csv,2019-05-10,2021-04-16,18.4,"[9.4, 35.4)",0-100,"[60, 70)",1.0
577,Aston Martin,2011,177.0,50.0,,587.83,P14754,Single,task_data_1.csv,2020-12-02,2021-02-18,11.4,"[9.4, 35.4)",100-250,"[50, 60)",0.2135567465451036
578,Pontiac,2000,76.0,85.0,,609.58,P92040,Married,task_data_1.csv,2020-01-09,2021-12-21,22.4,"[9.4, 35.4)",0-100,"[80, 90)",1.0
579,Porsche,1989,408.0,38.0,,1675.77,P55610,Married,task_data_1.csv,2019-09-17,2021-02-11,33.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
580,Chevrolet,1996,107.0,97.0,6714,866.79,P07238,Single,task_data_1.csv,2020-04-07,2021-10-25,26.4,"[9.4, 35.4)",100-250,"[90, 100)",1.0
581,Mercedes-Benz,2007,483.0,40.0,,858.17,P19309,Married,task_data_1.csv,2019-02-12,2021-11-03,15.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
582,Lexus,2010,382.0,75.0,71009CEDEX,1647.09,P85473,Married,task_data_1.csv,2020-05-01,2021-01-03,12.4,"[9.4, 35.4)",250+,"[70, 80)",0.6762630307261613
583,Toyota,2002,146.0,29.0,,1628.14,P95065,Married,task_data_1.csv,2020-01-07,2021-12-10,20.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
583,Toyota,2002,146.0,29.0,,1628.14,P95065,Married,task_data_1.csv,2019-11-10,2022-01-11,20.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
584,Hyundai,2001,393.0,71.0,78000000,654.98,P75133,Single,task_data_1.csv,2020-03-01,2021-06-29,21.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
585,Cadillac,2005,63.0,29.0,98148,2439.84,P55585,Married,task_data_1.csv,2020-04-06,2021-01-22,17.4,"[9.4, 35.4)",0-100,"[20, 30)",0.7967309390336558
586,Porsche,1991,50.0,31.0,641330,2394.68,P44999,Married,task_data_1.csv,2020-12-23,2022-01-18,31.4,"[9.4, 35.4)",0-100,"[30, 40)",1.0
587,Chevrolet,1997,168.0,38.0,,872.15,P90351,Married,task_data_1.csv,2019-08-25,2021-12-27,25.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
588,Chevrolet,1973,241.0,88.0,38512,143.84,P86344,Married,task_data_1.csv,2019-06-27,2021-07-26,49.4,"[35.4, 61.4)",100-250,"[80, 90)",1.0
589,BMW,2008,294.0,83.0,,2225.26,P60786,Single,task_data_1.csv,2019-11-30,2022-02-08,14.4,"[9.4, 35.4)",250+,"[80, 90)",1.0
590,Toyota,2011,382.0,22.0,,216.48,P38282,Single,task_data_1.csv,2020-05-25,2021-07-02,11.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
591,Lincoln,2008,103.0,39.0,,1188.42,P79493,Married,task_data_1.csv,2020-04-09,2021-06-28,14.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
592,Kia,1999,217.0,40.0,,905.16,P80420,Single,task_data_1.csv,2020-08-08,2021-08-28,23.4,"[9.4, 35.4)",100-250,"[40, 50)",1.0
593,Chevrolet,2007,184.0,75.0,,2096.0,P79178,Single,task_data_1.csv,2019-11-09,2021-08-03,15.4,"[9.4, 35.4)",100-250,"[70, 80)",1.0
594,Dodge,2009,396.0,79.0,5172,0.0,P06986,Single,task_data_1.csv,2020-06-05,2022-01-23,13.4,"[9.4, 35.4)",250+,"[70, 80)",0.0
595,Ford,2013,192.0,67.0,,508.09,P21715,Single,task_data_1.csv,2020-09-12,2021-06-29,9.4,"[9.4, 35.4)",100-250,"[60, 70)",0.7939930320266673
596,Toyota,1995,121.0,33.0,167032,213.26,P01012,Married,task_data_1.csv,2020-05-14,2022-01-16,27.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
597,Ford,2002,489.0,27.0,94913,2328.43,P11404,Single,task_data_1.csv,2019-01-07,2021-04-10,20.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
598,Ford,1992,79.0,33.0,21107,1638.48,P46726,Married,task_data_1.csv,2020-04-25,2021-06-18,30.4,"[9.4, 35.4)",0-100,"[30, 40)",1.0
599,Mitsubishi,2004,465.0,31.0,,2311.05,P94555,Single,task_data_1.csv,2020-04-15,2021-03-03,18.4,"[9.4, 35.4)",250+,"[30, 40)",0.8816060562502994
600,Ford,2003,89.0,92.0,5702,649.41,P45015,Married,task_data_1.csv,2019-07-05,2021-04-03,19.4,"[9.4, 35.4)",0-100,"[90, 100)",1.0
601,Nissan,2006,117.0,62.0,,158.71,P25391,Married,task_data_1.csv,2019-08-07,2022-02-08,16.4,"[9.4, 35.4)",100-250,"[60, 70)",1.0
602,Dodge,2001,451.0,72.0,12104CEDEX,2249.55,P14170,Single,task_data_1.csv,2019-05-27,2021-12-14,21.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
603,Dodge,1999,312.0,69.0,,808.53,P82254,Married,task_data_1.csv,2020-08-19,2021-05-11,23.4,"[9.4, 35.4)",250+,"[60, 70)",0.7255453568519545
604,Cadillac,2001,165.0,96.0,,209.05,P76375,Single,task_data_1.csv,2020-04-06,2021-10-12,21.4,"[9.4, 35.4)",100-250,"[90, 100)",1.0
605,Cadillac,1992,58.0,24.0,,2162.89,P96126,Married,task_data_1.csv,2019-05-03,2021-05-30,30.4,"[9.4, 35.4)",0-100,"[20, 30)",1.0
606,Acura,2003,294.0,91.0,,1786.44,P16804,Single,task_data_1.csv,2020-08-06,2021-06-04,19.4,"[9.4, 35.4)",250+,"[90, 100)",0.8268479161105293
607,Toyota,2009,461.0,29.0,,1564.2,P83546,Married,task_data_1.csv,2020-12-08,2021-08-28,13.4,"[9.4, 35.4)",250+,"[20, 30)",0.7200695428379775
608,Jaguar,2000,461.0,96.0,,2297.0,P12150,Married,task_data_1.csv,2019-05-14,2021-03-03,22.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
609,Cadillac,1997,432.0,43.0,,1307.03,P99268,Married,task_data_1.csv,2020-03-16,2021-05-24,25.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
610,Volvo,2010,376.0,24.0,462159,2265.39,P93561,Single,task_data_1.csv,2020-12-12,2021-10-10,12.4,"[9.4, 35.4)",250+,"[20, 30)",0.8268479161105293
611,Toyota,2011,115.0,89.0,,80.83,P91500,Married,task_data_1.csv,2019-10-21,2021-12-18,11.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
612,Ford,1995,237.0,48.0,,298.37,P95547,Single,task_data_1.csv,2020-04-16,2021-02-09,27.4,"[9.4, 35.4)",100-250,"[40, 50)",0.8186341950895638
613,Bentley,2009,421.0,52.0,98168,1425.45,P06113,Married,task_data_1.csv,2020-07-12,2021-09-12,13.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
614,Kia,2008,120.0,56.0,,0.0,P01445,Single,task_data_1.csv,2019-12-11,2021-11-15,14.4,"[9.4, 35.4)",100-250,"[50, 60)",0.0
615,Chevrolet,2008,466.0,80.0,,2213.21,P73391,Married,task_data_1.csv,2019-08-18,2022-01-24,14.4,"[9.4, 35.4)",250+,"[80, 90)",1.0
616,Ford,2005,477.0,36.0,,821.64,P65284,Married,task_data_1.csv,2019-08-31,2021-09-10,17.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
617,Acura,2007,60.0,33.0,,1487.54,P54810,Single,task_data_1.csv,2019-03-17,2021-11-05,15.4,"[9.4, 35.4)",0-100,"[30, 40)",1.0
618,Toyota,1997,330.0,44.0,94946CEDEX9,102.09,P02088,Married,task_data_1.csv,2020-02-28,2021-12-25,25.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
619,Volkswagen,1997,-1.0,-1.0,,1183.61,P16855,Single,task_data_1.csv,2020-10-14,2021-12-08,25.4,"[9.4, 35.4)",,"[20, 30)",1.0
620,Dodge,1995,424.0,63.0,606525,1345.13,P08471,Single,task_data_1.csv,2019-10-25,2021-06-28,27.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
621,Lamborghini,1990,441.0,91.0,2420144,555.17,P01637,Married,task_data_1.csv,2019-07-11,2021-12-26,32.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
622,Isuzu,1994,152.0,53.0,,1989.71,P91333,Married,task_data_1.csv,2020-11-10,2021-04-27,28.4,"[9.4, 35.4)",100-250,"[50, 60)",0.4599683771740693
623,GMC,1994,327.0,42.0,7416,111.69,P10348,Single,task_data_1.csv,2019-09-06,2021-06-23,28.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
624,Volkswagen,2008,214.0,49.0,,904.66,P16341,Single,task_data_1.csv,2020-05-09,2021-04-21,14.4,"[9.4, 35.4)",100-250,"[40, 50)",0.9500537314250121
625,Hyundai,2009,334.0,73.0,,765.47,P06301,Married,task_data_1.csv,2019-01-09,2021-06-19,13.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
626,Chevrolet,2004,299.0,92.0,,0.0,P30078,Single,task_data_1.csv,2019-03-30,2021-10-21,18.4,"[9.4, 35.4)",250+,"[90, 100)",0.0
627,Plymouth,1994,167.0,89.0,26301,1826.48,P32403,Single,task_data_1.csv,2019-12-26,2021-10-16,28.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
628,Cadillac,2001,377.0,19.0,,0.0,P31092,Single,task_data_1.csv,2020-11-21,2021-04-24,21.4,"[9.4, 35.4)",250+,"[20, 30)",0.0
629,Chevrolet,2001,77.0,43.0,,2434.72,P31310,Single,task_data_1.csv,2020-11-02,2021-06-21,21.4,"[9.4, 35.4)",0-100,"[40, 50)",0.6324565186143453
630,Audi,2010,87.0,80.0,,512.57,P72313,Single,task_data_1.csv,2020-02-28,2021-10-19,12.4,"[9.4, 35.4)",0-100,"[80, 90)",1.0
631,Hyundai,2004,208.0,19.0,8180138,1694.13,P27916,Single,task_data_1.csv,2019-01-01,2021-12-11,18.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
632,Infiniti,2007,79.0,88.0,,1166.38,P05075,Married,task_data_1.csv,2020-09-30,2021-02-03,15.4,"[9.4, 35.4)",0-100,"[80, 90)",0.344976282880552
633,Jeep,2007,361.0,97.0,34194CEDEX5,2108.07,P34020,Married,task_data_1.csv,2020-02-23,2022-01-28,15.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
634,GMC,2007,320.0,37.0,64500,168.78,P17524,Married,task_data_1.csv,2019-07-21,2021-12-29,15.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
635,Chevrolet,2008,358.0,38.0,918,1696.86,P34006,Married,task_data_1.csv,2020-09-16,2021-10-07,14.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
636,Suzuki,1997,90.0,33.0,666921,655.28,P65278,Single,task_data_1.csv,2020-06-11,2021-05-01,25.4,"[9.4, 35.4)",0-100,"[30, 40)",0.8870818702642764
637,Mazda,2012,195.0,43.0,,854.22,P39115,Married,task_data_1.csv,2020-05-25,2021-01-03,10.4,"[9.4, 35.4)",100-250,"[40, 50)",0.6105532625584372
638,Mazda,1994,284.0,69.0,46862,0.0,P74728,Single,task_data_1.csv,2020-09-11,2022-02-25,28.4,"[9.4, 35.4)",250+,"[60, 70)",0.0
639,Chrysler,2005,390.0,54.0,T9G,467.83,P39123,Single,task_data_1.csv,2020-03-21,2022-02-20,17.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
640,BMW,2007,334.0,62.0,,1859.94,P27012,Married,task_data_1.csv,2020-07-06,2021-07-10,15.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
